Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Wildlife: Size,Conditions: Sky,Wildlife: Species,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
Airplane,LAGUARDIA NY,> 1000 ft,B-737-400,Over 100,859,11/23/00 0:00,Caused damage,2,US AIRWAYS*,New York,Climb,Medium,No Cloud,Unknown bird - medium,"30,736","1,500",0,Yes
Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-80,Over 100,424,7/25/01 0:00,Caused damage,2,AMERICAN AIRLINES,Texas,Landing Roll,Small,Some Cloud,Rock pigeon,0,0,0,No
Airplane,LAKEFRONT AIRPORT,< 1000 ft,C-500,Over 100,261,9/14/01 0:00,No damage,2,BUSINESS,Louisiana,Approach,Small,No Cloud,European starling,0,50,0,No
Airplane,SEATTLE-TACOMA INTL,< 1000 ft,B-737-400,Over 100,806,09-05-2002,No damage,2,ALASKA AIRLINES,Washington,Climb,Small,Some Cloud,European starling,0,50,0,Yes
Airplane,NORFOLK INTL,< 1000 ft,CL-RJ100/200,Over 100,942,6/23/03 0:00,No damage,2,COMAIR AIRLINES,Virginia,Approach,Small,No Cloud,European starling,0,50,0,No
Airplane,NEW CASTLE COUNTY,< 1000 ft,LEARJET-25,Over 100,227,8/17/03 0:00,Caused damage,2,BUSINESS,Delaware,Climb,Small,No Cloud,European starling,"14,81,711",150,0,No
Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,A-320,Over 100,320,03-01-2006,Caused damage,2,UNITED AIRLINES,DC,Approach,Small,Some Cloud,European starling,"14,83,141",100,0,No
Airplane,ATLANTA INTL,< 1000 ft,DC-9-30,2 to 10,9,01-06-2000,No damage,2,AIRTRAN AIRWAYS,Georgia,Take-off run,Small,Some Cloud,Rock pigeon,0,0,0,No
Airplane,ORLANDO SANFORD INTL AIRPORT,< 1000 ft,A-330,2 to 10,4,01-07-2000,No damage,2,AIRTOURS INTL,Florida,Landing Roll,Small,Some Cloud,Unknown bird - small,0,0,0,No
Airplane,ONTARIO INTL ARPT,< 1000 ft,A-320,2 to 10,3,01-08-2000,No damage,2,AMERICA WEST AIRLINES,California,Approach,Small,Some Cloud,Rock pigeon,0,200,0,No
Airplane,CHICAGO O'HARE INTL ARPT,> 1000 ft,FOKKER F100,2 to 10,9,1/20/00 0:00,Caused damage,2,AMERICAN AIRLINES,Illinois,Approach,Large,No Cloud,Canada goose,0,"1,700",0,No
